ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Monteiro T.,24,86,1598,616,4,6,6,4,6,3,,,,,2,1,Completed,"1,5","2,5","1,57","2,57","1,62","2,63","1,55","2,44"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Lopez F.,Fognini F.,61,12,888,2310,3,6,6,4,6,3,,,,,2,1,Completed,"2,75","1,4","3,19","1,4","3,2","1,45","2,89","1,41"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Seppi A.,69,84,800,636,6,3,7,6,,,,,,,2,0,Completed,"1,44","2,62","1,39","3,22","1,49","3,6","1,33","3,3"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Humbert U.,Cecchinato M.,57,76,900,690,6,1,6,4,,,,,,,2,0,Completed,"1,5","2,5","1,39","3,25","1,64","3,43","1,36","3,11"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Shapovalov D.,Pospisil V.,13,146,2200,360,6,4,7,6,,,,,,,2,0,Completed,"1,53","2,37","1,51","2,76","1,57","2,91","1,49","2,6"
3,Adelaide,Adelaide International,15/01/2020,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Khachanov K.,47,16,1071,1995,4,6,6,3,6,3,,,,,2,1,Completed,"2,5","1,5","2,62","1,56","2,62","1,62","2,44","1,55"
3,Adelaide,Adelaide International,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Isner J.,Edmund K.,20,69,1770,800,7,6,7,6,,,,,,,2,0,Completed,"1,9","1,9","1,92",2,"1,92",2,"1,87","1,92"
3,Adelaide,Adelaide International,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Humbert U.,Shapovalov D.,57,13,900,2200,7,5,6,4,,,,,,,2,0,Completed,"3,2","1,36","3,26","1,4","3,4","1,4","3,12","1,35"
3,Adelaide,Adelaide International,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Paire B.,Millman J.,24,47,1598,1071,3,6,6,1,6,4,,,,,2,1,Completed,"2,1","1,72","2,33","1,69","2,33","1,82","2,11","1,72"
3,Adelaide,Adelaide International,16/01/2020,ATP250,Outdoor,Hard,Quarterfinals,3,Hurkacz H.,Lopez F.,34,61,1318,888,6,4,6,7,6,4,,,,,2,1,Completed,"1,33","3,4","1,35","3,61","1,36","3,94","1,32","3,36"
3,Adelaide,Adelaide International,17/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Humbert U.,Isner J.,57,20,900,1770,7,6,6,4,,,,,,,2,0,Completed,"1,9","1,9","2,01","1,92","2,01",2,"1,89","1,89"
3,Adelaide,Adelaide International,17/01/2020,ATP250,Outdoor,Hard,Semifinals,3,Paire B.,Hurkacz H.,24,34,1598,1318,6,4,6,7,6,2,,,,,2,1,Completed,"2,37","1,57","2,73","1,53","2,75","1,58","2,54","1,51"
3,Adelaide,Adelaide International,18/01/2020,ATP250,Outdoor,Hard,The Final,3,Humbert U.,Paire B.,57,24,900,1598,7,6,3,6,7,6,,,,,2,1,Completed,"1,72","2,1","1,71","2,29","1,94","2,29","1,72","2,11"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Berrettini M.,Harris A.,8,162,2870,316,6,3,6,1,6,3,,,,,3,0,Completed,"1,1",7,"1,12","7,51","1,13",8,"1,11","6,68"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Berankis R.,Carballes Baena R.,69,83,804,664,6,4,6,2,6,2,,,,,3,0,Completed,"1,66","2,2","1,76","2,2","1,81","2,25","1,73","2,1"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Evans D.,Mcdonald M.,32,129,1349,419,3,6,4,6,6,1,6,2,6,3,3,2,Completed,"1,16",5,"1,26","4,34","1,26","5,5","1,2","4,57"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Nishioka Y.,Djere L.,71,40,797,1185,6,4,3,6,6,2,7,6,,,3,1,Completed,"1,57","2,37","1,55","2,64","1,61","2,7","1,53","2,51"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Pella G.,Smith J.P.,25,308,1585,130,6,3,7,5,6,4,,,,,3,0,Completed,"1,25",4,"1,32","3,78","1,32","4,33","1,26","3,85"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Coric B.,45,28,1100,1490,6,3,6,4,6,4,,,,,3,0,Completed,"2,2","1,66","2,17","1,78","2,35","1,78","2,23","1,66"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Barrere G.,Safwat M.,84,173,649,291,6,7,7,6,6,4,7,6,,,3,1,Completed,"1,44","2,75","1,48","2,87","1,48","3,35","1,4","2,94"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Shapovalov D.,67,13,827,2200,6,3,6,7,6,1,7,6,,,3,1,Completed,5,"1,16","5,62","1,18","5,8","1,19","5,15","1,16"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Johnson S.,3,75,6590,720,6,3,6,2,6,2,,,,,3,0,Completed,"1,03",15,"1,03","17,9","1,05",20,"1,03","13,43"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Londero J.I.,20,52,1772,1017,4,6,6,2,6,0,6,4,,,3,1,Completed,"1,2","4,5","1,19","5,42","1,23","5,42","1,18","4,82"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Caruso S.,6,95,5375,586,6,0,6,2,6,3,,,,,3,0,Completed,"1,02",19,"1,01","27,9","1,03","27,9","1,01","18,09"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Kohlschreiber P.,Giron M.,79,107,700,521,7,5,6,1,6,2,,,,,3,0,Completed,"1,28","3,75","1,31","3,85","1,36","3,85","1,29","3,57"
4,Melbourne,Australian Open,20/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Struff J.L.,2,37,9720,1270,7,6,6,2,2,6,6,1,,,3,1,Completed,"1,01",23,"1,01","26,08","1,04",35,"1,01",20
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Moutet C.,39,70,1205,800,6,3,6,2,6,4,,,,,3,0,Completed,"1,5","2,62","1,44","3,02","1,56","3,02","1,47","2,7"
4,Melbourne,Australian Open,21/01/2020,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Gombos N.,88,113,627,498,4,6,6,4,2,6,6,3,6,2,3,2,Completed,"1,72","2,1","1,81","2,11","1,89","2,14","1,78","2,04"
